plant_code,lat,lon,State
476,39.57013,-107.226876,CO
479,33.8343,-117.4971,CA
480,33.85895,-117.6106,CA
481,33.8361,-117.1831,CA
482,34.004722,-118.09917,CA
483,33.92493,-117.95517,CA
484,33.3944,-117.1889,CA
487,33.9001,-117.82905,CA
489,37.6508,-120.4706,CA
494,38.855556,-104.933056,CO
495,38.841354,-104.973802,CO
505,43.417872,-108.177545,WY
508,38.033327,-102.537915,CO
510,38.7903,-122.7559,CA
512,38.453191,-107.337483,CO
513,40.376771,-105.509665,CO
514,38.451753,-107.539299,CO
515,40.421031,-105.223804,CO
516,39.878805,-106.332725,CO
517,40.34408,-105.534308,CO
518,40.364996,-105.236032,CO
519,40.365056,-105.325074,CO
520,39.19366,-108.044088,CO
521,39.143808,-108.004777,CO
531,39.048802,-121.316966,CA
534,38.850283,-120.381883,CA
537,38.2268,-121.0245,CA
539,41.5826,-73.4349,CT
541,41.659046,-73.491984,CT
547,42.610683,-72.471643,MA
551,41.6651,-72.1221,CT
552,41.44842,-73.295321,CT
553,41.3833,-73.1714,CT
554,41.5725,-72.0458,CT
557,41.555425,-72.041829,CT
559,41.915312,-72.693616,CT
560,41.957272,-73.369297,CT
579,41.828814,-74.131877,NY
583,41.538955,-72.050936,CT
584,36.8061,-107.6131,NM
585,32.711611,-114.942666,CA
586,32.699451,-115.28245,CA
622,47.699167,-121.783333,WA
625,42.9126,-73.6805,NY
626,40.07531,-121.16143,CA
632,38.835182,-121.092982,CA
678,44.625282,-72.530859,VT
682,37.071846,-119.558008,CA
690,30.708571,-84.863869,FL
692,41.835278,-106.242778,WY
702,32.663,-85.0908,AL
704,34.7939,-83.5402,GA
706,31.6026,-84.137,GA
707,32.6096,-85.0795,AL
712,33.3207,-83.8414,GA
714,39.893491,-121.59338,CA
717,33.9681,-84.3841,GA
718,34.7549,-83.5012,GA
719,32.4994,-84.9965,GA
720,32.5155,-85.0004,GA
722,33.1405,-83.2018,GA
723,34.7388,-83.3956,GA
724,34.7653,-83.4162,GA
725,34.714,-83.3522,GA
729,34.6821,-83.3418,GA
736,33.562644,-82.051242,GA
745,34.10345,-117.5257,CA
751,37.816447,-120.312033,CA
752,31.847697,-83.941996,GA
754,34.3564,-82.8219,GA
757,34.883889,-84.282222,GA
758,34.959153,-84.08765,GA
759,34.162279,-84.077367,GA
761,31.624501,-85.065237,GA
771,19.7264,-155.0908,HI
774,19.7203,-155.1189,HI
776,39.580413,-121.119479,CA
785,41.2114,-101.6681,NE
788,44.326335,-72.035894,VT
790,43.420221,-112.101852,ID
791,29.87056,-98.194733,TX
794,33.068473,-96.963806,TX
805,44.099461,-70.220851,ME
808,43.3121,-75.109,NY
809,42.7778,-112.8764,ID
810,42.913786,-115.070986,ID
811,44.8367,-116.8975,ID
812,42.944869,-115.977858,ID
813,44.5256,-116.0483,ID
814,42.66701,-114.78012,ID
815,42.865783,-114.906172,ID
816,42.841608,-114.903611,ID
818,42.5975,-114.4033,ID
819,43.2435,-116.3791,ID
820,42.740542,-114.836722,ID
821,42.5892,-114.3553,ID
822,42.767422,-114.924692,ID
823,42.864267,-114.885542,ID
825,44.07863,-111.497326,ID
827,42.53675,-111.793967,ID
829,42.267774,-111.748531,ID
831,42.64455,-111.696689,ID
833,48.084444,-116.053056,ID
835,47.703333,-116.953889,ID
839,39.272108,-120.932508,CA
840,46.5143,-116.2977,ID
841,43.491398,-112.04541,ID
843,43.468398,-112.062602,ID
844,43.552695,-112.050953,ID
846,39.0096,-121.0591,CA
850,43.334849,-111.205752,ID
851,48.180245,-116.99859,ID
899,41.509959,-90.534021,IL
903,42.4511,-89.0756,IL
905,34.8158,-118.6867,CA
917,46.982514,-119.257764,WA
925,39.205623,-111.334381,UT
944,41.451494,-90.148547,IL
955,41.3237,-89.1123,IL
986,41.6928,-85.965,IN
987,42.603349,-111.705304,ID
989,41.665,-86.1322,IN
998,40.7803,-86.76,IN
999,40.6564,-86.7528,IN
1005,38.7795,-84.964,IN
1020,39.255911,-111.621491,UT
1067,42.069987,-90.697657,IA
1109,40.3965,-91.3719,IA
1172,43.279722,-92.810556,IA
1173,41.016346,-92.414873,IA
1354,37.7864,-84.7028,KY
1359,37.8297,-84.7247,KY
1365,38.2832,-85.7792,KY
1371,37.0217,-88.2211,KY
1377,37.0131,-88.2692,KY
1380,36.8691,-85.147,KY
1469,44.5442,-68.4306,ME
1475,44.942064,-68.64504,ME
1478,44.9094,-68.6833,ME
1482,43.687688,-70.611553,ME
1483,43.920486,-69.967819,ME
1486,43.4956,-70.4472,ME
1488,44.134572,-70.203715,ME
1491,44.152854,-70.209378,ME
1492,45.4592,-69.8658,ME
1493,43.8525,-70.7969,ME
1497,44.548544,-69.710404,ME
1498,44.569872,-69.681841,ME
1500,44.534397,-69.652232,ME
1501,43.802517,-70.44992,ME
1504,44.629517,-69.583527,ME
1505,43.5708,-70.5583,ME
1508,43.66687,-70.602125,ME
1509,44.763875,-69.71828,ME
1510,44.9589,-69.8703,ME
1511,45.0703,-69.9064,ME
1516,46.556477,-68.325538,ME
1567,39.523,-79.413,MD
1574,39.6572,-76.1752,MD
1603,42.2086,-72.6014,MA
1604,42.1919,-72.6097,MA
1605,42.2119,-72.6036,MA
1607,42.200592,-72.594432,MA
1620,42.69118,-72.9561,MA
1629,42.5875,-72.5793,MA
1630,42.117112,-72.864663,MA
